review,category,Strength,text_string_lem,trust,surprise,positive,joy,anticipation,TopKeyword,Negative,Positive,Neutral
"


 [Apr 15, 2008]




				Dan

				Road Racer



OVERALLRATING

3


★★★★★
★★★★★









VALUERATING
4


★★★★★
★★★★★






Strength:
Resonably stiff and cost effective. Great looks


Weakness:
The stock saddle was horrid replaced that fast and the wheels broke after 1 year.


t the time I was a recreational rider, didn't even like hills back then. Joined a club and discovered hills. The bike was awesome then. Since then however I have developed into a road racer and have beat this bike into a pulp. Lots of miles have past however and I am a big heavy rider about 215lbs puttin out up to 1200 watts. I estimate about 10K road miles plus 3 winters worth of indoor riding on the trainer.


Similar Products Used:
none



",Trek1500,resonably stiff and cost effective  great looks,resonably stiff cost effective great looks,0.3333333333333333,0.0,0.3333333333333333,0.0,,"['resonably', 'stiff', 'cost', 'effective', 'great']",0.0,0.643,0.357
"


 [Mar 07, 2008]




				Anonymous

				Recreational Rider



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
* relatively light(aluminum/carbon)* above average component group (Shimano 105/Ultergra)* excellent value


Weakness:
* seat needs replacing ASAP


I am reviewing the Trek 1600 in this summary. After researching the web, reading magazine reviews, and visiting most bike shops in the central Florida area, I was set to buy the Trek 1500. When I went to Dave's to look one last time, I was introduced to the 1600. It was on sale and included upgrades from the 1500 - a carbon fork and seat post as well as an Ultegra rear derailleur. In a test ride of both the 1500 and 1600, it was a much smoother ride and seemed to handle easier. Since I purchased it over 3 months ago, I have replaced the Bontrager seat, and added aerobars and clipless pedals. I have had one flat and eventually plan to replace the tires with either Continentals or Michelins. I normally ride 10 miles after work during the week and take long rides of about 40-50 miles on the weekend. I would love to upgrade to a carbon bike, but I can't bring myself to spend that kind of money. I rated the 1600 an overall 4 since upgrading the 105 components to all Ultegra would improve this bike even more. For the price, the Trek 1600 is awesome and a big step up from the 1500!


Similar Products Used:
Road tested various Trek, Giant, Specialized products in the $1000 - $2500 price range. Own a Trek 6700 hardtail mountain bike with many upgrades.



",Trek1500,  relatively light aluminum carbon   above average component group  shimano     ultergra   excellent value,relatively light aluminum carbon average component group shimano ultergra excellent value,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,,"['light', 'aluminum', 'carbon', 'average', 'component', 'group', 'shimano', 'ultergra', 'excellent']",0.0,0.404,0.596
"


 [Mar 05, 2008]




				curty42082

				Road Racer



OVERALLRATING

3


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Full 105 gearing across the board.Carbon seat stays as well as carbon fork .Good all around frame .


Weakness:
Ok ,I must say that for a thousand dollar bike ,there is no way you can beat it's gearing specs ,weight,or frame.On the other hand ,it is a thousand dollar bike people: the brakes are marginal(I upgraded to ultegra).The wheels imo are not safe at high speeds and for riders above 230( I went with neuvation m28 aero 2's).Last but certainly not least,the seat is a joke. has no flex and poor cushioning.Easily bontragers worst effort in seats .


At the 1,000 to 1,500 price range,this bike imo has the best combination of attributes for it's price.I looked at the Trek 1600,fuji 1.0,several jamis's ,and Scott, this one fit my needs best ..That is not to say that it doesn't need upgrades,just that for it's price, it is a real value. I say this for two reasons,it's full 105 setup and the frame.Those two things alone are worth upwards of 1,200. As I said in the weaknesses ,it needs upgrades for sure but I felt like given it's strengths ,it was worth it . Good stock bike for the weekender,or good trainer/upgradable ride for more experienced folks.


Similar Products Used:
Scott,Fuji,Cannondale,Jamis.



",Trek1500,full     gearing across the board carbon seat stays as well as carbon fork  good all around frame  ,full gearing across board carbon seat stays well carbon fork good around frame,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,"['full', 'frame', 'carbon', 'gearing', 'board', 'seat', 'stays', 'fork', 'good']",0.0,0.312,0.688
"


 [Feb 29, 2008]




				Dan Starn

				Recreational Rider



OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
quality paint-components,lightweight,the cost for what you get,


Weakness:
I found the seat uncomfortable after a few hundred miles-I replaced it with a higher quality product;I have heard others complain about the Bontrager tires- but for my purposes they are fine;


This being my first road bike, I was looking for the best bike I could find under $1000. Trek had a promotion in 2007 featuring the 1500 and my LBS had a nice red 1500 priced at $875 - sold! I don't speak all the bike lingo, but basically this bike has been all that I had hoped for. I find it to be of high quality, lightweight, good-looking, fast(for my purposes), and something that should suit my needs for many years. I am a former distance runner that needed to get on a bike to save my knees. I ride just for enjoyment and personal fitness. I can get a great workout and feel no pain in my knees. After riding for awhile now, I wonder why I spent all those years running - the speed you get on a bike for the effort you put in is very rewarding. For me, the Trek 1500 has been a great bike. I feel I have a high quality product at a very reasonable price.I am one that likes quality, but I don't have to have the most expensive or the best. My rides have been an enjoyable experience - I feel like I have a quality product.


Similar Products Used:
Nishiki Colorado mountain bike that I commute to work on daily



",Trek1500,quality paint components lightweight the cost for what you get ,quality paint components lightweight cost get,0.0,0.0,0.0,0.0,,"['quality', 'paint', 'components', 'lightweight', 'cost']",0.0,0.0,1.0
"


 [Dec 08, 2007]




				Anonymous

				Recreational Rider



OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
components, frame stiffness, weight, comfort


Weakness:
saddle, tires


To start with, this bike retailed new at 1150 at my local bike shop last year. Even that price well fits the bike as it is equipped with 105 shifters and front d, as well as an ultegra crankset, bottom bracket, and rear d. i have been saving for quite some time for a new bicycle and have been test riding bikes left and right. the lateral stiffness on this bike is just where i want it to be, and the geometry places me in a position where i feel like im in a race every time i ride it. Some of the models come with full 105, which i would still recomend because the diffrence in the mechanics is very minimal. If your looking for a bicycle build with excellent quality, something stiff and light, something that climbs with passion every time you hit the hills, and ultimatley something under a 1000 bucks i highly recommend this bicycle... the only cons are the tires, and saddle are cheaply made and should be replaced if you are spending alot of time riding... to sum things up, this bike is truly a joy to ride every time i am on it (which is around 200 miles a week).


Similar Products Used:
specialized allez triple, trek 1000, felt f85, several others



",Trek1500,components  frame stiffness  weight  comfort,components frame stiffness weight comfort,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,"['components', 'comfort', 'frame', 'stiffness', 'weight']",0.0,0.385,0.615
"


 [Dec 01, 2007]




				Anonymous

				Recreational Rider



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
The Shimano 105 shifting is quite effective.


Weakness:
Watch the wear on the crankset if you're really adding up the miles. Also the rear tire rim may go out of round just a hair. My bike store is great about giving this bike a spot check tune-up every month or so.


I purchased the Trek 1500 after looking at several other Trek designs. a Lemond Reno, and a similar package from Specialized.  I went with the Trek 1500 because this bike just seemed to feel right. After riding for two months, I finally got around to changing the Bontrager 25c tires it came with to Michelin Krylion Carbon 23C for about $80.00. WHAT A DIFFERENCE. I immediately noticed the bike corners better at greater speed and angle and inspires much more confidence on faster descents. Change the pedals too. Upgrade to a nice clip in bike shoe. If your bike budget was under a $1000.00, this bike will not disappoint. But making at least those two upgrades will make your rides much more productive and enjoyable.





",Trek1500,the shimano     shifting is quite effective ,shimano shifting quite effective,0.5,0.0,0.5,0.0,,"['shimano', 'effective', 'shifting']",0.0,0.531,0.469
"


 [Nov 22, 2007]




				jmcwright

				Triathlete



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Ultegra components, nice clean, solid ride. Smooth shifting


Weakness:
a little noisy in the front, could be head, or it could be the wheel set


This is a great bike, I was riding a Giant OCR 2 which i paid more money for and it does not hold a candle to the trek 1500


Similar Products Used:
Giant OCR 2, OCR1



",Trek1500,ultegra components  nice clean  solid ride  smooth shifting,ultegra components nice clean solid ride smooth shifting,0.25,0.0,0.5,0.25,,"['ultegra', 'shifting', 'components', 'nice', 'clean', 'solid', 'ride', 'smooth']",0.0,0.587,0.413
"


 [Nov 02, 2007]




				Anonymous

				Recreational Rider



OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Stiff frame transfers all efforts into pedal stroke, while carbon fork shaves some road harshness - a nice combination for a road-weary 40-something. VERY crisp shifting.


Weakness:
Received first flat 2 blocks from my home on my first ride. Replaced with Conti 4-Seasons. Cane Creek brakes not very rigid; contort under heavy braking.


This bike replaced my 10yo Cannondale R500, which I really did not want to part with, but could not find 7-spd components. I am overall happy with this bike, but due to my unusually short arms and legs, had to replace 100mm stem with 80mm and cranks from 172.5mm to 165mm. Also replaced stock bar with 46cm Easton, added Airstryke aero-bar and 53T big ring with 50T.


Similar Products Used:
Trek 5000, Trek 1000, Cannondale R500



",Trek1500,stiff frame transfers all efforts into pedal stroke  while carbon fork shaves some road harshness   a nice combination for a road weary    something  very crisp shifting ,stiff frame transfers efforts pedal stroke carbon fork shaves road harshness nice combination road weary something crisp shifting,0.09090909090909091,0.0,0.0,0.0,,"['stiff', 'shifting', 'road', 'frame', 'transfers', 'efforts', 'pedal', 'stroke', 'carbon', 'fork']",0.1,0.134,0.766
"


 [Oct 28, 2007]




				Vic in San Marcos

				Road Racer




OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Light, smooth, not twitchy, good components for the price point. Carbon forks, stem and seat post smooth the ride almost as much as a full carbon. It must take an elite rider to really appreciate the differences in the high end bikes.


Weakness:
Tires are reported to be bad on this site, but I don't have any complaints. For the money, I couldn't be happier with the bike.


Great bike for the money. I have over 3000 miles (and only ONE flat!!!). I've test ridden the Madone carbon with XXX race wheels - it was better on the climbs, but similar on the flatlands. No way I'd spend the money for a Madone when I love this bike at 1/4th the cost... and it's almost as nice.


Similar Products Used:
Madone 5.2 with tricked out wheels and gears, Trek 1000 - stock, Giant - intermediate level.



",Trek1500,light  smooth  not twitchy  good components for the price point  carbon forks  stem and seat post smooth the ride almost as much as a full carbon  it must take an elite rider to really appreciate the differences in the high end bikes ,light smooth twitchy good components price point carbon forks stem seat post smooth ride almost much full carbon must take elite rider really appreciate differences high end bikes,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.18181818181818182,"['light', 'bikes', 'smooth', 'carbon', 'twitchy', 'good', 'components', 'price', 'point', 'forks']",0.0,0.185,0.815
"


 [Oct 25, 2007]




				Anonymous

				Recreational Rider




OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
The Shimano 105 STI Shifters


Weakness:
Since this is my first road bike, I haven't really compared it to other road bikes to see a weakness in mine.


This is my first road bike in a long time (since the mid 80s) and I love it. I ride it about 120 miles a week.





",Trek1500,the shimano     sti shifters,shimano sti shifters,0.0,0.0,0.0,0.0,,"['shimano', 'shifters', 'sti']",0.0,0.0,1.0
"


 [Oct 16, 2007]




				Dan M

				Road Racer



OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Top notch Bontrager/Shimano 105 combo. Great premorming and good looking paired spoke wheels. Compact crankset. Frame remains stiff while sprinting.


Weakness:
Stock Bontrager 700x25c tires are a little sluggish, easy fix. Seat a little wide for my bum, personal preference item.


I am really happy with every feature of this bike. I race criteriums and this bike is fully suited for that purpose. With a compact crankset (39/53) and a 9 speed Shimano 105 gruppo, it's light, responsive and a joy to ride. The carbon fork and seatpost by Bontrager are top quality and smooth out the ride. I highly recommend this from the club rider to the beginning and intermediate criterium racer.


Similar Products Used:
Felt,Giant



",Trek1500,top notch bontrager shimano     combo  great premorming and good looking paired spoke wheels  compact crankset  frame remains stiff while sprinting ,top notch bontrager shimano combo great premorming good looking paired spoke wheels compact crankset frame remains stiff sprinting,0.25,0.0625,0.1875,0.0625,0.125,"['top', 'sprinting', 'notch', 'bontrager', 'shimano', 'combo', 'great', 'premorming', 'good', 'paired']",0.0,0.37,0.63
"


 [Oct 11, 2007]




				JBlair

				Triathlete



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Some of the strengths of the 1500 include, sturdy frame that has a life time Guaranty and it offers great mid-range components with shimano 105's.


Weakness:
As you will read many people are unsatisfied with the lackluster wheel package associated with this bike. The fact, wheels will make a creaking noise when rider is out of the sadle. All that needs to be done is, tighten the tension of the spokes. This can be done fairly easliy by most quailfied mechanics.


The trek 1500 is a great entry level bike. Trek has built this bike on a sold frame which make it quite versital for many applications. THis bike is aimedfor people with a budget constraint of 900-1100 dollars. My personal uses for this bike have included everything from comuting to work to placing in the top 20% in sprint triathlons. Im curently at 1500+ miles and the only thing i added was a pair of areobars for my triathlons.





",Trek1500,some of the strengths of the      include  sturdy frame that has a life time guaranty and it offers great mid range components with shimano     s ,strengths include sturdy frame life time guaranty offers great mid range components shimano,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,"['strengths', 'shimano', 'include', 'sturdy', 'frame', 'life', 'time', 'guaranty', 'offers', 'great']",0.0,0.382,0.618
"


 [Oct 11, 2007]




				RS

				Road Racer



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Firm and responsive but not so stiff that the ride is harsh. Over 1000 miles on the factory saddle and tires - no flats and no complaints.


Weakness:
Needs some better tape on the bars. CF seat stays would have been nice but obviously not at this price point.


Excellent biike, solid responsive and durable even for someone >200 lbs. Hit a beer bottle while riding through the shadows of a tunnel at 20mph+ barely dented the down tube, no flat, rim is still true. Bombproof construction and components but still lightweight and fast. Have gotten bike up to 50mph on some hills with no shimmys, brakes still responsive and dependable. Great price for goog quality components all around.


Similar Products Used:
Specialized Allez



",Trek1500,firm and responsive but not so stiff that the ride is harsh  over      miles on the factory saddle and tires   no flats and no complaints ,firm responsive stiff ride harsh miles factory saddle tires flats complaints,0.25,0.0,0.25,0.0,0.25,"['firm', 'complaints', 'responsive', 'stiff', 'ride', 'harsh', 'miles', 'factory', 'saddle', 'tires']",0.348,0.155,0.497
"


 [Oct 07, 2007]




				DS

				Recreational Rider



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Frame, 105 and Ultegra components.


Weakness:
Tires and brakes.


I have to agree about the stock tires. After about 5 flats, the rear tire blew out and was beyond repair. I swapped on the tires from my old bike and the front tire blew out on the first ride due to a sharp edge on the rim at the seam (but those tires were O-L-D, which probably contributed). So I filed the sharp edge, mounted a pair of Kevlar-belted Continentals and all is well. I also found the Cane Creek brakes so-so at best, so when I found a set of 105 calipers at a good price, I bought them -- much stronger, smoother and more predictable. While all of this sounds negative, I really do like the bike -- the frame is light and stiff without being harsh and the 105/Ultegra drivetrain works flawlessly. At this price point you're always going to find some compromises on the parts but the big things, the frame, the drivetrain, and the wheels, are all just fine.


Similar Products Used:
Cannondale 2.8 frame with mixed Shimano components



",Trek1500,frame      and ultegra components ,frame ultegra components,0.0,0.0,0.0,0.0,,"['frame', 'components', 'ultegra']",0.0,0.0,1.0
"


 [Sep 23, 2007]




				Thomo

				Recreational Rider



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
4


★★★★★
★★★★★






Strength:
Comfortable and responsive. The Ultegra groupset is great.


Weakness:
The tyres. The stock front tyre imploded on my first decent ride.


I have been 'out of the saddle' for ten years and was looking for an entry level bike to get back into the sport. Plan to get a few miles in my legs and then perhaps compete in a few triathlons and group rides. I decided on the 1500 due to the fit and the excellent spec The Aus model for 2007 has full Ultegra and at this price ($1899 AUS) there were few bikes spec'd similarly. I now have a few hundred k's on the bike and am very happy with it. It is very responsive, yet comfortable and the Ultegra gear is a dream to use.





",Trek1500,comfortable and responsive  the ultegra groupset is great ,comfortable responsive ultegra groupset great,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,"['comfortable', 'great', 'responsive', 'ultegra', 'groupset']",0.0,0.832,0.168
"


 [Sep 21, 2007]




				TheKindleman

				Recreational Rider




OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Great Bike to start a long relationship with the road.


Weakness:
The saddle, no padding and sits like a broom stick. The Bontrager Select stock wheels.


The 1500 is a great bike for beginners or someone looking to upgrade. The stock saddle is not all that comfortable, of which I swapped it for a SPECIALIZD ALLIAS. The bike has held up well after putting 1000 miles on it. Would recommend it to all!!!


Similar Products Used:
Scwinn Sprint



",Trek1500,great bike to start a long relationship with the road ,great bike start long relationship road,0.0,0.0,0.0,0.0,1.0,"['great', 'road', 'bike', 'start', 'long', 'relationship']",0.0,0.451,0.549
