category,raw_reviews,analyze_reviews,Negative,Neutral,Positive,fear,anger,sadness,disgust,TopKeyword
Trek1500,the stock saddle was horrid replaced that fast and the wheels broke after   year t the time i was a recreational rider  didn t even like hills back then  joined a club and discovered hills  the bike was awesome then  since then however i have developed into a road racer and have beat this bike into a pulp  lots of miles have past however and i am a big heavy rider about    lbs puttin out up to      watts  i estimate about   k road miles plus   winters worth of indoor riding on the trainer similar products used none,stock saddle horrid replaced fast wheels broke year time recreational rider even like hills back joined club discovered hills bike awesome since however developed road racer beat bike pulp lots miles past however big heavy rider lbs puttin watts estimate road miles plus winters worth indoor riding trainer similar products used none,0.102,0.761,0.138,0.1176470588235294,0.0588235294117647,0.1176470588235294,0.0588235294117647,"['stock', 'rider', 'hills', 'bike', 'road', 'miles', 'saddle', 'horrid', 'replaced', 'fast']"
Trek1500,  seat needs replacing asapi am reviewing the trek      in this summary  after researching the web  reading magazine reviews  and visiting most bike shops in the central florida area  i was set to buy the trek       when i went to dave s to look one last time  i was introduced to the       it was on sale and included upgrades from the        a carbon fork and seat post as well as an ultegra rear derailleur  in a test ride of both the      and       it was a much smoother ride and seemed to handle easier  since i purchased it over   months ago  i have replaced the bontrager seat  and added aerobars and clipless pedals  i have had one flat and eventually plan to replace the tires with either continentals or michelins  i normally ride    miles after work during the week and take long rides of about       miles on the weekend  i would love to upgrade to a carbon bike  but i can t bring myself to spend that kind of money  i rated the      an overall   since upgrading the     components to all ultegra would improve this bike even more  for the price  the trek      is awesome and a big step up from the      similar products used road tested various trek  giant  specialized products in the               price range  own a trek      hardtail mountain bike with many upgrades ,seat needs replacing asapi reviewing trek summary researching web reading magazine reviews visiting bike shops central florida area set buy trek went dave look one last time introduced sale included upgrades carbon fork seat post well ultegra rear derailleur test ride much smoother ride seemed handle easier since purchased months ago replaced bontrager seat added aerobars clipless pedals one flat eventually plan replace tires either continentals michelins normally ride miles work week take long rides miles weekend would love upgrade carbon bike bring spend kind money rated overall since upgrading components ultegra would improve bike even price trek awesome big step similar products used road tested various trek giant specialized products price range trek hardtail mountain bike many upgrades,0.0,0.853,0.147,0.0434782608695652,0.0434782608695652,0.0,0.0,"['trek', 'bike', 'ride', 'seat', 'carbon', 'miles', 'upgrades', 'ultegra', 'price', 'products']"
Trek1500,ok  i must say that for a thousand dollar bike  there is no way you can beat it s gearing specs  weight or frame on the other hand  it is a thousand dollar bike people  the brakes are marginal i upgraded to ultegra  the wheels imo are not safe at high speeds and for riders above      i went with neuvation m   aero   s  last but certainly not least the seat is a joke  has no flex and poor cushioning easily bontragers worst effort in seats  at the       to       price range this bike imo has the best combination of attributes for it s price i looked at the trek      fuji     several jamis s  and scott  this one fit my needs best   that is not to say that it doesn t need upgrades just that for it s price  it is a real value  i say this for two reasons it s full     setup and the frame those two things alone are worth upwards of        as i said in the weaknesses  it needs upgrades for sure but i felt like given it s strengths  it was worth it   good stock bike for the weekender or good trainer upgradable ride for more experienced folks similar products used scott fuji cannondale jamis ,must say thousand dollar bike way beat gearing specs weight frame hand thousand dollar bike people brakes marginal upgraded ultegra wheels imo safe high speeds riders went neuvation aero last certainly least seat joke flex poor cushioning easily bontragers worst effort seats price range bike imo best combination attributes price looked trek fuji several jamis scott one fit needs best say need upgrades price real value say two reasons full setup frame two things alone worth upwards said weaknesses needs upgrades sure felt like given strengths worth good stock bike weekender good trainer upgradable ride experienced folks similar products used scott fuji cannondale jamis,0.084,0.603,0.312,0.03125,0.0,0.03125,0.03125,"['bike', 'dollar', 'thousand', 'upgrades', 'price', 'frame', 'imo', 'fuji', 'jamis', 'scott']"
Trek1500,i found the seat uncomfortable after a few hundred miles i replaced it with a higher quality product i have heard others complain about the bontrager tires  but for my purposes they are fine this being my first road bike  i was looking for the best bike i could find under        trek had a promotion in      featuring the      and my lbs had a nice red      priced at        sold  i don t speak all the bike lingo  but basically this bike has been all that i had hoped for  i find it to be of high quality  lightweight  good looking  fast for my purposes   and something that should suit my needs for many years  i am a former distance runner that needed to get on a bike to save my knees  i ride just for enjoyment and personal fitness  i can get a great workout and feel no pain in my knees  after riding for awhile now  i wonder why i spent all those years running   the speed you get on a bike for the effort you put in is very rewarding  for me  the trek      has been a great bike  i feel i have a high quality product at a very reasonable price i am one that likes quality  but i don t have to have the most expensive or the best  my rides have been an enjoyable experience   i feel like i have a quality product similar products used nishiki colorado mountain bike that i commute to work on daily,found seat uncomfortable hundred miles replaced higher quality product heard others complain bontrager tires purposes fine first road bike looking best bike could find trek promotion featuring lbs nice red priced sold speak bike lingo basically bike hoped find high quality lightweight good looking fast purposes something suit needs many years former distance runner needed get bike save knees ride enjoyment personal fitness get great workout feel pain knees riding awhile wonder spent years running speed get bike effort put rewarding trek great bike feel high quality product reasonable price one likes quality expensive best rides enjoyable experience feel like quality product similar products used nishiki colorado mountain bike commute work daily,0.056,0.628,0.316,0.04,0.04,0.08,0.0,"['quality', 'bike', 'product', 'feel', 'high', 'purposes', 'find', 'trek', 'years', 'knees']"
Trek1500,saddle  tiresto start with  this bike retailed new at      at my local bike shop last year  even that price well fits the bike as it is equipped with     shifters and front d  as well as an ultegra crankset  bottom bracket  and rear d  i have been saving for quite some time for a new bicycle and have been test riding bikes left and right  the lateral stiffness on this bike is just where i want it to be  and the geometry places me in a position where i feel like im in a race every time i ride it  some of the models come with full      which i would still recomend because the diffrence in the mechanics is very minimal  if your looking for a bicycle build with excellent quality  something stiff and light  something that climbs with passion every time you hit the hills  and ultimatley something under a      bucks i highly recommend this bicycle    the only cons are the tires  and saddle are cheaply made and should be replaced if you are spending alot of time riding    to sum things up  this bike is truly a joy to ride every time i am on it  which is around     miles a week  similar products used specialized allez triple  trek       felt f    several others,saddle tiresto start bike retailed new local bike shop last year even price well fits bike equipped shifters front well ultegra crankset bottom bracket rear saving quite time new bicycle test riding bikes left right lateral stiffness bike want geometry places position feel like race every time ride models come full would still recomend diffrence mechanics minimal looking bicycle build excellent quality something stiff light something climbs passion every time hit hills ultimatley something bucks highly recommend bicycle cons tires saddle cheaply made replaced spending alot time riding sum things bike truly joy ride every time around miles week similar products used specialized allez triple trek felt several others,0.0,0.805,0.195,0.0,0.0714285714285714,0.0357142857142857,0.0,"['time', 'bike', 'bicycle', 'saddle', 'riding', 'ride', 'tiresto', 'start', 'retailed', 'local']"
Trek1500,watch the wear on the crankset if you re really adding up the miles  also the rear tire rim may go out of round just a hair  my bike store is great about giving this bike a spot check tune up every month or so i purchased the trek      after looking at several other trek designs  a lemond reno  and a similar package from specialized   i went with the trek      because this bike just seemed to feel right  after riding for two months  i finally got around to changing the bontrager   c tires it came with to michelin krylion carbon   c for about         what a difference  i immediately noticed the bike corners better at greater speed and angle and inspires much more confidence on faster descents  change the pedals too  upgrade to a nice clip in bike shoe  if your bike budget was under a           this bike will not disappoint  but making at least those two upgrades will make your rides much more productive and enjoyable ,watch wear crankset really adding miles also rear tire rim may round hair bike store great giving bike spot check tune every month purchased trek looking several trek designs lemond reno similar package specialized went trek bike seemed feel right riding two months finally got around changing bontrager tires came michelin krylion carbon difference immediately noticed bike corners better greater speed angle inspires much confidence faster descents change pedals upgrade nice clip bike shoe bike budget bike disappoint making least two upgrades make rides much productive enjoyable,0.026,0.746,0.228,0.1034482758620689,0.0344827586206896,0.0344827586206896,0.0689655172413793,"['bike', 'trek', 'watch', 'enjoyable', 'wear', 'crankset', 'adding', 'miles', 'rear', 'rim']"
Trek1500,a little noisy in the front  could be head  or it could be the wheel setthis is a great bike  i was riding a giant ocr   which i paid more money for and it does not hold a candle to the trek     similar products used giant ocr    ocr ,little noisy front could head could wheel setthis great bike riding giant ocr paid money hold candle trek similar products used giant ocr ocr,0.051,0.8,0.149,0.2,0.2,0.0,0.0,"['ocr', 'giant', 'noisy', 'front', 'head', 'wheel', 'setthis', 'great', 'bike', 'riding']"
Trek1500,received first flat   blocks from my home on my first ride  replaced with conti   seasons  cane creek brakes not very rigid  contort under heavy braking this bike replaced my   yo cannondale r     which i really did not want to part with  but could not find   spd components  i am overall happy with this bike  but due to my unusually short arms and legs  had to replace    mm stem with   mm and cranks from      mm to    mm  also replaced stock bar with   cm easton  added airstryke aero bar and   t big ring with   t similar products used trek       trek       cannondale r   ,received first flat blocks home first ride replaced conti seasons cane creek brakes rigid contort heavy braking bike replaced cannondale really want part could find spd components overall happy bike due unusually short arms legs replace stem cranks also replaced stock bar easton added airstryke aero bar big ring similar products used trek trek cannondale,0.057,0.854,0.089,0.125,0.125,0.0,0.0,"['replaced', 'bike', 'cannondale', 'bar', 'trek', 'received', 'flat', 'blocks', 'home', 'ride']"
Trek1500,tires are reported to be bad on this site  but i don t have any complaints  for the money  i couldn t be happier with the bike great bike for the money  i have over      miles  and only one flat      i ve test ridden the madone carbon with xxx race wheels   it was better on the climbs  but similar on the flatlands  no way i d spend the money for a madone when i love this bike at    th the cost    and it s almost as nice similar products used madone     with tricked out wheels and gears  trek        stock  giant   intermediate level ,tires reported bad site complaints money happier bike great bike money miles one flat test ridden madone carbon xxx race wheels better climbs similar flatlands way spend money madone love bike cost almost nice similar products used madone tricked wheels gears trek stock giant intermediate level,0.124,0.604,0.272,0.0714285714285714,0.1428571428571428,0.0357142857142857,0.0357142857142857,"['money', 'bike', 'madone', 'tires', 'level', 'wheels', 'similar', 'reported', 'bad', 'site']"
Trek1500,since this is my first road bike  i haven t really compared it to other road bikes to see a weakness in mine this is my first road bike in a long time  since the mid   s  and i love it  i ride it about     miles a week ,since first road bike really compared road bikes see weakness mine first road bike long time since mid love ride miles week,0.104,0.741,0.156,0.0,0.0,0.0,0.0,"['road', 'bike', 'week', 'compared', 'weakness', 'mine', 'long', 'time', 'mid', 'love']"
Trek1500,stock bontrager    x  c tires are a little sluggish  easy fix  seat a little wide for my bum  personal preference item i am really happy with every feature of this bike  i race criteriums and this bike is fully suited for that purpose  with a compact crankset         and a   speed shimano     gruppo  it s light  responsive and a joy to ride  the carbon fork and seatpost by bontrager are top quality and smooth out the ride  i highly recommend this from the club rider to the beginning and intermediate criterium racer similar products used felt giant,stock bontrager tires little sluggish easy fix seat little wide bum personal preference item really happy every feature bike race criteriums bike fully suited purpose compact crankset speed shimano gruppo light responsive joy ride carbon fork seatpost bontrager top quality smooth ride highly recommend club rider beginning intermediate criterium racer similar products used felt giant,0.035,0.707,0.258,0.0384615384615384,0.0,0.0769230769230769,0.0384615384615384,"['stock', 'giant', 'bontrager', 'bike', 'ride', 'tires', 'sluggish', 'easy', 'fix', 'seat']"
Trek1500,as you will read many people are unsatisfied with the lackluster wheel package associated with this bike  the fact  wheels will make a creaking noise when rider is out of the sadle  all that needs to be done is  tighten the tension of the spokes  this can be done fairly easliy by most quailfied mechanics the trek      is a great entry level bike  trek has built this bike on a sold frame which make it quite versital for many applications  this bike is aimedfor people with a budget constraint of          dollars  my personal uses for this bike have included everything from comuting to work to placing in the top     in sprint triathlons  im curently at       miles and the only thing i added was a pair of areobars for my triathlons ,read many people unsatisfied lackluster wheel package associated bike fact wheels make creaking noise rider sadle needs done tighten tension spokes done fairly easliy quailfied mechanics trek great entry level bike trek built bike sold frame make quite versital many applications bike aimedfor people budget constraint dollars personal uses bike included everything comuting work placing top sprint triathlons curently miles thing added pair areobars triathlons,0.07,0.848,0.082,0.0416666666666666,0.125,0.0833333333333333,0.0416666666666666,"['bike', 'people', 'make', 'trek', 'triathlons', 'read', 'unsatisfied', 'lackluster', 'package', 'fact']"
Trek1500,needs some better tape on the bars  cf seat stays would have been nice but obviously not at this price point excellent biike  solid responsive and durable even for someone      lbs  hit a beer bottle while riding through the shadows of a tunnel at   mph  barely dented the down tube  no flat  rim is still true  bombproof construction and components but still lightweight and fast  have gotten bike up to   mph on some hills with no shimmys  brakes still responsive and dependable  great price for goog quality components all around similar products used specialized allez,needs better tape bars seat stays would nice obviously price point excellent biike solid responsive durable even someone lbs hit beer bottle riding shadows tunnel mph barely dented tube flat rim still true bombproof construction components still lightweight fast gotten bike mph hills shimmys brakes still responsive dependable great price goog quality components around similar products used specialized allez,0.0,0.69,0.31,0.0,0.0526315789473684,0.0,0.0,"['price', 'responsive', 'mph', 'components', 'allez', 'tape', 'bars', 'seat', 'stays', 'nice']"
Trek1500,tires and brakes i have to agree about the stock tires  after about   flats  the rear tire blew out and was beyond repair  i swapped on the tires from my old bike and the front tire blew out on the first ride due to a sharp edge on the rim at the seam  but those tires were o l d  which probably contributed   so i filed the sharp edge  mounted a pair of kevlar belted continentals and all is well  i also found the cane creek brakes so so at best  so when i found a set of     calipers at a good price  i bought them    much stronger  smoother and more predictable  while all of this sounds negative  i really do like the bike    the frame is light and stiff without being harsh and the     ultegra drivetrain works flawlessly  at this price point you re always going to find some compromises on the parts but the big things  the frame  the drivetrain  and the wheels  are all just fine similar products used cannondale     frame with mixed shimano components,tires brakes agree stock tires flats rear tire blew beyond repair swapped tires old bike front tire blew first ride due sharp edge rim seam tires probably contributed filed sharp edge mounted pair kevlar belted continentals well also found cane creek brakes best found set calipers good price bought much stronger smoother predictable sounds negative really like bike frame light stiff without harsh ultegra drivetrain works flawlessly price point always going find compromises parts big things frame drivetrain wheels fine similar products used cannondale frame mixed shimano components,0.035,0.744,0.22,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0,"['tires', 'frame', 'blew', 'sharp', 'edge', 'brakes', 'bike', 'found', 'price', 'drivetrain']"
Trek1500,the tyres  the stock front tyre imploded on my first decent ride i have been  out of the saddle  for ten years and was looking for an entry level bike to get back into the sport  plan to get a few miles in my legs and then perhaps compete in a few triathlons and group rides  i decided on the      due to the fit and the excellent spec the aus model for      has full ultegra and at this price        aus  there were few bikes spec d similarly  i now have a few hundred k s on the bike and am very happy with it  it is very responsive  yet comfortable and the ultegra gear is a dream to use ,tyres stock front tyre imploded first decent ride saddle ten years looking entry level bike get back sport plan get miles legs perhaps compete triathlons group rides decided due fit excellent spec aus model full ultegra price aus bikes spec similarly hundred bike happy responsive yet comfortable ultegra gear dream use,0.0,0.718,0.282,0.0,0.0,0.0,0.0,"['spec', 'aus', 'ultegra', 'bike', 'stock', 'front', 'imploded', 'decent', 'saddle', 'ten']"
Trek1500,the saddle  no padding and sits like a broom stick  the bontrager select stock wheels the      is a great bike for beginners or someone looking to upgrade  the stock saddle is not all that comfortable  of which i swapped it for a specializd allias  the bike has held up well after putting      miles on it  would recommend it to all   similar products used scwinn sprint,saddle padding sits like broom stick bontrager select stock wheels great bike beginners someone looking upgrade stock saddle comfortable swapped specializd allias bike held well putting miles would recommend similar products used scwinn sprint,0.0,0.667,0.333,0.0,0.0,0.0,0.0,"['sprint', 'saddle', 'stock', 'bike', 'padding', 'sits', 'broom', 'stick', 'bontrager', 'select']"
Trek1500,stock bontrager saddle  maybe if i gave it a proper break in  it might have come around  but it was still going to be a relatively heavy saddle compared to my old avocet o   which was already broken in from years of service the geometry and crossbreeding of equipment manufactures comes together to provide a bike that is simply a wonderful experience to ride  my last two bikes were great  but they each had flaws  one was a bit too weak torsionally  full carbon fiber tubed bike   the other was too rigid and agile for any comfort at all  metal matrix frame with agressive geometry   the trek      slr provides me with everything i want and need  i look forward to years of enjoyment from the trek similar products used specialized epic comp  full carbon fiber tubed frame with aluminum lugs dropouts  and complete shimano       ultegra   components and mavic rims  also  a specialized m  pro  also with full shimano     components  ,stock bontrager saddle maybe gave proper break might come around still going relatively heavy saddle compared old avocet already broken years service geometry crossbreeding equipment manufactures comes together provide bike simply wonderful experience ride last two bikes great flaws one bit weak torsionally full carbon fiber tubed bike rigid agile comfort metal matrix frame agressive geometry trek slr provides everything want need look forward years enjoyment trek similar products used specialized epic comp full carbon fiber tubed frame aluminum lugs dropouts complete shimano ultegra components mavic rims also specialized pro also full shimano components,0.069,0.791,0.14,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0,"['carbon', 'fiber', 'full', 'tubed', 'stock', 'saddle', 'years', 'geometry', 'frame', 'trek']"
Trek1500,made me realize that i enjoy riding and want to buy more bikes  tri bike  fancier road bike  etc  great bike for getting into riding  goal was to do a tri or   and lose a few lbs  did   tris  sprint and oly  and a century ride this season  as a larger frame          #  at time of purchase  the    cm frame fits me well   this bike is not going to win many races  especially with me as the engine  but is a great entry into road tri cycling similar products used      bridgestone xo     this is my first road bike ,made realize enjoy riding want buy bikes tri bike fancier road bike etc great bike getting riding goal tri lose lbs tris sprint oly century ride season larger frame time purchase frame fits well bike going win many races especially engine great entry road tri cycling similar products used bridgestone first road bike,0.04,0.684,0.276,0.0625,0.125,0.0625,0.125,"['bike', 'road', 'tri', 'riding', 'great', 'frame', 'made', 'realize', 'enjoy', 'buy']"
Trek1500,saddleexcellent value  well worth the extra investment to upgrade from entry level trek      or comparable units similar products used none,saddleexcellent value well worth extra investment upgrade entry level trek comparable units similar products used none,0.0,0.67,0.33,0.0,0.0,0.0,0.0,"['saddleexcellent', 'worth', 'extra', 'investment', 'upgrade', 'entry', 'level', 'trek', 'comparable', 'units']"
